Date,Open,High,Low,Close,VWAP,Unadj. Open,Unadj. High,Unadj. Low,Unadj. Close,Unadj. VWAP,Volume,Change Percent,Change,Trade Value
2016/4/7,110.7261,111.3962,110.5796,111.279,111.1305,132.19,132.99,132.015,132.85,132.6728,5963282,1.234,1.357,791192585
2016/4/6,110.1733,110.2906,109.5116,109.922,109.9094,131.53,131.67,130.74,131.23,131.215,6393875,-0.726,-0.804127,839000123
2016/4/5,110.5754,110.8685,110.3827,110.7261,110.6714,132.01,132.36,131.78,132.19,132.1247,6482810,1.094,1.1978,856573254
2016/4/4,109.5535,109.7042,109.1179,109.5283,109.4921,130.79,130.97,130.27,130.76,130.7168,5145057,0.061,0.067014,672568987
2016/4/1,109.7126,109.8383,108.808,109.4613,109.3403,130.98,131.13,129.9,130.68,130.5356,9341350,0.261,0.285096,1219561941
2016/3/31,108.6496,109.3392,108.4908,109.1762,108.9898,129.98,130.805,129.79,130.61,130.387,7832575,0.709,0.769023,1021165603
2016/3/30,108.6914,108.7249,107.8124,108.4072,108.3031,130.03,130.0701,128.9784,129.69,129.5655,8478718,-1.053,-1.1535,1098590241
2016/3/29,108.984,109.5774,108.683,109.5607,109.1862,130.38,131.09,130.02,131.07,130.6219,9396659,1.048,1.1368,1230836114
2016/3/28,108.1481,108.8001,108.0646,108.4239,108.461,129.38,130.16,129.2801,129.71,129.7544,5058676,0.131,0.1421,656371537
2016/3/24,109.1511,109.2034,107.8304,108.2818,108.4071,130.58,130.6425,129,129.54,129.6899,6343287,0.039,0.041797,822711960
2016/3/23,107.3373,108.5159,107.2328,108.24,107.964,128.41,129.82,128.285,129.49,129.1598,10628207,1.132,1.212,1372806968
2016/3/22,107.6883,107.8472,106.9285,107.028,107.4394,128.83,129.02,127.921,128.04,128.5322,4997933,-0.023,-0.02508,642369024
2016/3/21,107.2035,107.5128,106.7814,107.0531,107.1059,128.25,128.62,127.745,128.07,128.1332,5514849,-0.767,-0.827528,706669437
2016/3/18,107.8639,108.2567,107.5797,107.8806,107.924,129.04,129.51,128.7,129.06,129.1119,8198622,0.21,0.22569,1058741624
2016/3/17,107.4208,108.1146,107.4041,107.6549,107.775,128.51,129.34,128.49,128.79,128.9337,7805464,0.413,0.443023,1006371900
2016/3/16,106.7856,107.4292,106.4679,107.2119,106.9488,127.75,128.52,127.37,128.26,127.9452,9728881,0.297,0.317639,1244989705
